desenvolvedor,total_jogos,avaliacoes_positivas,avaliacoes_negativas,tempo_medio_jogado
5minlab Corp.,1,41,1,2.13
5th Cell Media,2,12949,1138,11.05
5th Planet Games Development ApS,2,33,56,37.825
6 Eyes Studio,1,5281,706,17.27
6 Pillars Studio,1,51,33,0.0
616 GAMES,2,50,74,0.0
628 Games,1,4,0,0.0
"64k, BARCHboi",1,24,6,0.0
68k Studios,3,130,38,0.19999999999999998
7 Box Games,1,35,6,1.1
7 Generation Games,1,3,0,0.0
7 Keys Studios,1,66,42,0.0
7 Raven Studios,1,34,4,5.2
7 Road,1,48,49,0.0
704Games Company,1,3003,727,7.72
729白起生贺组,1,20,2,0.0
773,2,609,143,3.2800000000000002
"7A Games, Rarykos",1,593,39,1.82
7Road,1,166,94,0.22
7TPGames,1,11,5,0.0
7Tech,1,1,5,0.0
7th Beat Games,2,89933,4751,11.350000000000001
8 CIRCUIT STUDIOS,1,101,24,0.0
800 North and Digital Ranch,1,12659,2391,2.82
80Arcade,2,152,76,2.915
838s Maniacs,2,69,37,0.0
8888888 LABS,1,174,67,25.57
88mm,2,43,40,12.145
89AM Studio,2,148,142,6.15
8A studio,1,2642,181,5.18
8AH,1,42,3,0.0
8BitSkull,1,139,18,0.43
8Floor,3,47165,30330,6.78
8bit,1,78,29,3.68
8bits fanatics,1,58,26,0.0
8floor,3,24,7,0.01
8i,1,50,27,0.0
8monkey Labs,1,248,76,5.93
"8th Shore, Inc.",1,51,12,0.0
9 Eyes Game Studio,4,378,40,0.6925
90Games,1,746,452,28.43
90s Studio,1,36,13,0.0
94 Games,1,2,1,0.0
9527 Studio,1,1,0,0.0
98DEMAKE,2,2450,449,1.16
99 Game Studio,1,53,38,0.58
99Games Online Pvt. Ltd.,1,207,154,8.53
9TH.ART,1,190,50,2.28
9heads Game Studios,2,2747,1175,6.220000000000001
@lukasinspace,1,30,3,0.08
@unepic_fran,3,12006,1071,11.18
@ustinCameron,1,1,0,0.0
A Crowd of Monsters,2,941,545,1.645
A Few Dragons,1,8,0,0.0
A Game Studio,1,5,0,0.0
A Guilda,1,6,0,0.0
A Jolly Corpse,1,79,17,4.62
A Korh,1,8,4,0.0
A Lonely Vanguard,1,3,1,0.0
A Man and his Computer,1,11,16,0.0
A Mazeing Tower Defense,1,5,12,0.0
A Memory of Eternity,2,46,3,0.0
A Nostru,7,542,288,0.4242857142857143
A Sharp,2,782,183,13.865
A Small Game AB,1,28,3,0.03
A Step Forward,1,2,0,0.0
A Stranger Gravity,1,310,23,0.0
A Sweet Studio,2,318,105,0.91
A To Play Ltd,1,3,0,0.0
A and F studios,1,14,13,0.02
A-Blast Games,1,22,4,0.0
A. Hagen,1,69,6,0.0
"A. Hagen, Shea Kennedy",2,237,13,0.0
A. Strazhev,1,349,149,1.88
A.Filimonov,1,2,9,0.0
A.Y.std,2,4919,1439,17.6
A13,2,14,4,0.0
A2 Softworks,2,995,178,0.26
A3D Studio (Solo Developer),1,5,8,0.0
A44,1,2438,1144,10.83
A9,1,1,0,0.0
A:TroY,1,116,23,0.0
AAAGAMES,2,161,52,0.06
AAD Games,1,644,171,1.88
AAD Productions,1,84,246,0.52
"AAGH Games, LLC",1,1,0,0.0
AAKIOO,1,3,3,0.0
ACE MADDOX,1,658,262,2.02
ACE Team,7,12876,2674,5.378571428571428
"ACE Team, Giant Monkey Robot",1,1075,361,1.95
ACGDT,1,1,1,0.0
ACQUIRE Corp.,7,5656,1382,11.088571428571429
"ACQUIRE Corp., Zerodiv",1,41,59,13.38
ACRAM STUDIOS LLC,1,16,15,0.0
ACTION SQUARE,1,1351,853,27.77
ADB,1,17,9,0.17
ADOG,1,2217,382,0.98
AECRNIA,2,78,27,0.1
AEL Entertainment,2,81,61,0.16
AFBIK Studio,13,1258,540,0.21615384615384617
AFOG,3,4580,1161,1.9833333333333334
AFROX GAME,1,1,4,0.0
AG SOFT,1,608,216,7.15
AG media,1,103,82,4.1
AGC,1,632,1205,6.4
AGO Games,1,25,63,2.18
AGP::Studios,1,18,51,4.2
AHEARTFULOFGAMES,1,500,118,5.58
AHui.Game,1,0,3,0.0
AIHASTO,3,851,118,0.5766666666666667
AIR FORGE GAMES L.L.C.,1,6,0,0.0
AIVIK LLC,3,321,112,3.4333333333333336
