desenvolvedor,total_jogos,avaliacoes_positivas,avaliacoes_negativas,tempo_medio_jogado
Indomitus Games,2,1348,361,3.84
Indoor Astronaut,1,17426,1243,6.1
Industry Games,2,946,747,5.075
Indy Lion Studios,1,21,5,0.0
Inertia Game Studios,2,239,72,0.815
Inexplicable Games,1,135,46,0.0
Infamous Quests,2,316,52,4.6899999999999995
Inferno Games,1,13,15,1.5
Inferno Studio,1,22,31,0.02
"InfernoSoul, Fromjaf Games",1,12,4,0.0
Infinigon,1,426,188,0.47
Infinitap Games,1,2217,699,3.3
Infinite Dreams,2,4200,339,6.18
Infinite Fall,1,17649,1092,10.58
Infinite Interactive,6,2408,687,10.81
Infinite Level,1,13,2,0.0
Infinite Loop Games,1,59,14,0.0
Infinite Monkeys Entertainment Ltd.,1,2312,97,2.52
Infinite State Games,1,100,20,0.0
"Infinite State Games, Projector Studios",1,20,0,0.0
Infinite8,1,63,49,0.0
Infinity Arc Studios,1,2,0,0.0
Infinity Games,1,55,24,0.0
Infinity Plus 2,1,7067,1723,80.87
Infinity Score Games,1,4,1,0.0
Infinity Ward,6,130810,29038,16.47833333333333
"Infinity Ward, Sledgehammer Games",1,21320,3686,22.58
Infocom,1,90,4,4.92
Infogames Europe SA,1,158,104,11.05
Infogrames,7,234,104,0.8571428571428571
"Infogrames Entertainment SA, Gremlin Interactive",1,252,234,0.05
Infogrames Europe SA,1,10,5,0.0
"Infogrames Europe SA, Etranges Libellules Studios",1,20,2,0.0
Infogrames Multimedia SA,1,2,0,0.0
Infosuccess3d,1,22,8,0.0
Infravision Inc.,1,6,5,0.0
Infuse Studio,1,4556,823,3.18
Ink Dragon Works,1,129,7,2.77
Ink Stains Games,3,31568,9451,12.090000000000002
Inncop,1,3,0,0.0
Inner Monkey,1,4,1,0.0
Inner Realm Studios,1,24,12,0.0
Inner World Games,2,23,17,0.0
Innerfire Studios,1,245,149,33.35
Innersloth,1,643681,57104,23.95
InnerspaceVR,3,1821,155,0.4766666666666666
Innervoid Interactive,2,1395,435,7.625
InnoGames,1,531,207,412.9
"InnoGlow, Stormregion, THQ Nordic",1,175,90,6.4
Innocenceイノセンス,1,8,2,0.0
Innocent Grey,2,2847,119,14.899999999999999
Innolabs,1,16,14,0.0
Innomen Team,1,215,45,12.73
Innominate Games,1,350,89,4.48
Innova Co SARL,1,2589,1746,82.72
Innovina/StudioKiku,1,46,28,0.0
Innuendo Squad Studios,1,21,28,2.05
Ino-Co,1,246,43,3.48
Ino-Co Plus,4,3356,958,11.865
InsGames,1,157,140,1.9
InsVolcStudio,1,7,1,0.0
Insane Code,1,514,182,1.12
Insane Dreamers,2,907,244,3.14
InsanityGameStudios,1,1,3,0.0
Insightful Games,1,22,1,0.0
Insomniac Games,1,713,129,4.3
"Insomniac Games, Blind Squirrel Games",1,11638,1261,6.92
Inspire Game Studios,1,1057,135,10.65
"Instituto de Astrofísica, PUC de Chile",1,13,4,0.0
Intaglyph,1,70,6,0.0
Intangible Games,1,3,0,0.0
Intensive Exposure Team,1,176,26,1.78
InterAction studios,5,5606,400,3.7920000000000003
InterIntellectus NFP,1,4,0,0.0
InterOne Inc.,1,148,27,147.25
InterServ International,1,5,5,0.0
InterSol OOO,1,14,5,0.0
InterWave Studios,1,112,146,1.27
Interabang Entertainment,1,3,11,0.0
"Interabang Entertainment, Spoony Bard Productions",1,53,15,0.0
"Interactive Binary Illusions, SubZero Software",1,31,27,0.2
Interactive Fate,1,1072,318,70.1
Interactive Gaming Studios,3,204,179,0.24333333333333332
Interactive Stone,1,939,177,2.22
Interama - Interactive Technology,1,20,4,1.5
Interbellum team,1,50,11,2.5
Interceptor Entertainment,1,1639,842,4.52
Interdimensional Games Inc,1,1088,425,3.37
Intergalactic Education LLC,1,143,40,0.0
Intermarum,1,50,126,0.0
"International Games System, Co., LTD.",1,45,6,2.08
Interplay,2,130,9,0.0
Interplay Entertainment Corp.,7,552,141,0.11285714285714286
Interplay Inc.,1,20902,1296,6.63
Intersky Studios,1,12,21,0.0
Intertum,1,5,3,0.0
Intostudio,1,703,125,0.6
Intravenous Software,2,176,33,7.8149999999999995
Intrepid Marmot,3,1164,158,5.460000000000001
"Intrepid Studios, Inc.",1,296,509,0.0
Intropy Games,2,15,28,4.99
Introversion Software,4,9949,1274,1.8625
"Introversion Software, Double Eleven",1,64439,7891,30.48
Inu to Neko,5,256,102,2.984
Inusuku,1,610,71,3.83
Inutaishos,1,81,62,0.0
Invader Studios,1,2725,1199,6.72
Invenmatic,1,4,2,0.0
Invent4 Entertainment,3,12542,3495,1.7533333333333332
Inventive Dingo,1,14,13,0.0
Inverse Game,3,6762,464,8.1
InvertMouse,9,3199,468,3.8444444444444437
Invi Games,1,1378,166,0.75
Invictus Games Ltd.,2,400,71,1.935
"Invictus Games Ltd., ImageCode",1,3502,452,20.47
"Invictus Games Ltd., JOGARA LTD",1,1388,503,3.35
Invincibles Studio Ltd,2,3740,1334,3.825
Invisible Collective,1,73,16,3.93
Invisible Walls,2,3777,967,4.785
Io Normal,2,28,13,0.0
Io-Interactive A/S,4,71140,5883,6.5
Iocaine Studios,1,35,35,3.28
Ion Storm,3,17113,2179,3.0566666666666666
IonFX,1,646,142,1.68
IonFx,1,935,275,3.15
Ionising Software,1,13,61,0.0
Ionized Games,1,777,301,2.62
Ionized Studios,1,1095,60,5.35
Ionut Lucian Achiricioaei,1,53,23,0.13
Iori Branford,1,45,5,0.0
Ioxian Games Oy,1,6,4,0.0
Ireero,1,28,1,0.0
Iridium Studios,2,1514,293,4.345
Irisloft,1,273,23,1.72
IriySoft,1,424,92,11.97
Iriya72,2,128,49,0.165
Iron 27,2,170,65,0.315
Iron Boar Labs Ltd.,1,91,16,0.0
Iron Galaxy Studios,3,7569,1313,4.1433333333333335
Iron Gate AB,1,471451,28377,70.88
"Iron Lore Entertainment, THQ Nordic",1,32295,3226,27.68
Iron Monkey,1,75,22,0.0
Iron Moose Development,1,5,2,0.0
Iron Stag Games,1,30,4,0.0
Iron Tower Studio,3,6410,1223,10.743333333333334
Iron VR,1,13,7,0.0
IronEqual,2,88,33,0.0
IronOak Games,1,36581,4906,24.4
IronRib,1,1,0,0.0
IronZog,1,3801,637,5.75
"Ironclad Games Corporation, Stardock Entertainment",2,15531,1277,17.915
Ironcode Gaming,3,78,80,0.07333333333333333
Irondales Entertainment,1,38,4,0.0
Ironhide Game Studio,5,40945,1926,15.644
Ironic Title Studio,1,47,18,0.0
Ironsun Studios,1,460,202,6.52
Ironward,3,4249,1788,6.903333333333333
Irrational Games,2,538,273,2.3600000000000003
"Irrational Games, Virtual Programming (Linux)",1,131970,8712,12.9
Irvin Vaush,1,21,26,0.0
Isaac Birchmier,1,2,1,0.0
Isaac Cohen,1,166,9,1.03
Isaac Lee,1,30,8,0.0
"Isabelle Dela Torre, José Fernando Gracia, Annaliese Bevan, Poppy de Raad",1,597,78,0.33
Isekai Entertainment,1,89,40,0.48
Ish Games,2,420,130,3.085
Ishtar Games,4,12529,1478,16.18
Iskonsko Studio,1,12,0,0.0
Iskra,1,158,14,0.0
Isoca Games,1,29,6,0.0
Isocube Software,1,5,2,0.0
Isojumper,1,172,32,2.95
Isokron,1,189,114,0.0
Isolated Games,2,14021,2180,13.665
Isotope 244 LLC,1,64,17,0.0
Istanbul Simulator,1,15,4,0.0
Istituto sull'Inquinamento Atmosferico - CNR,1,23,3,0.0
Isto Inc.,1,465,105,4.97
Istotex,1,60,27,4.73
It's Anecdotal,1,268,45,0.03
It's a Wonderful Life,1,18,10,0.0
ItRuStore Games,1,5,3,0.0
Italian Party of Indie Developer,1,17,0,0.0
Italian Party of Indie Developers,1,15,2,0.0
Italic Pig Limited,1,83,44,2.63
Italo Games,1,82,38,0.0
"Item Multimedia, Ltd.",1,1,2,0.0
Itera Laboratories,4,81,44,0.0
Iteration 11,2,733,262,7.505
Iterative Games,1,3,0,0.0
Iterative Interactive,1,4,0,0.0
Ithaqua Labs,5,656,60,1.026
"Ithiro Sumi, Lucas Perdomo",1,2,10,0.0
"Ithiro Sumi, Lucas Perdomo, Lucas Bressan",1,387,44,3.97
Iubisoft System SRL,1,170,343,0.0
Ivan Bolcina,1,8,5,0.0
Ivan Kulibin,1,1,2,0.0
Ivan Panasenko,2,12,6,0.0
Ivan Pichugin,2,15,4,0.0
Ivan Zanotti's MyMadnessWorks,2,3055,194,0.765
Ivanovich Games,6,501,194,2.35
Ivent Games,1,109,18,0.0
Ivory Tower,1,72724,21141,31.05
Ivory Tower in collaboration with Ubisoft Reflections,1,10721,6318,47.85
Ivy Games,2,418,49,2.835
Iván Marcelo Pretti,1,574,130,6.47
Iwa Interactive,1,1,1,0.0
"Ixeria, MadBee",1,43,2,0.0
IzHard,1,416,46,1.5
"IzanagiGames, Too Kyo Games, ESQUADRA,inc.",1,684,203,0.73
"IzanagiGames, Too Kyo Games, Grounding Inc., ESQUADRA,inc.",1,141,56,0.0
Izmir Games Collective,1,21,3,0.0
IzukawaN,2,14,0,0.0
J,1,68,25,0.0
J Games 966,1,3,0,0.0
J Griffin,1,6,0,0.0
J. C. SpringBourne,2,15,9,0.0
"J. Fletcher, Michael Flynn",1,25,61,0.02
J. J. A,1,1,2,0.0
J. King-Spooner,2,406,40,3.535
J.Bowman,2,975,95,1.57
J.S.Void,1,1,2,0.0
"J1 Game studio, Request Logic",1,4,5,0.0
J2YSOFT,1,23,14,0.0
JAB team,1,192,119,0.0
JAM Productions,2,173,37,0.01
JAMgames,1,39,34,2.97
JAVELIN OÜ,1,469,399,1.88
JAYFLGAMES,1,774,85,0.07
JBO Media,1,11,4,0.0
"JBO Media, Angel Star Studios",1,5,1,0.0
JCKSLAP,1,11512,591,4.45
"JCKSLAP, Sherlerk, 我師父的徒兒, Eazie",1,1251,65,0.42
JCO,1,315,77,2.42
JDM4iK,2,309,317,0.0
JDM4iK Games,3,3252,1916,4.716666666666666
"JDM4iK, Droid Riot",1,549,640,0.0
JE Software,1,372,75,0.02
JF Nova Studio,1,6,0,0.0
JFerreira,1,43,5,0.0
JForce Games,1,5492,874,4.97
JFxGames,1,1,0,0.0
"JH Soft Co., Ltd.",1,14,14,0.0
"JH12world, Jordan Benoit",1,26,98,4.62
JIB Games,1,72,32,0.0
JIW-Games,1,4522,813,21.13
JJ Montes,1,14,0,0.0
JJBenefield Games,1,3,3,0.0
JLogical Games,1,4,0,0.0
JMAA Games,1,12,6,0.0
JMC Games,1,65,108,0.0
JMF Games,1,57,11,0.0
JMJ Interactive,2,61,33,2.11
"JMJ Interactive, Mårten Jonsson",1,239,78,2.88
JMV,1,21,20,0.0
JOAO PORTO,1,2,0,0.0
JOL Studios,1,86,38,0.0
JOONSPICTURES,1,3,9,0.0
JOYCITY,1,9153,3494,19.9
JOZGamer,1,28,6,0.0
"JOZGamer, Hatus Quemuel",2,354,102,1.81
JPEG OF PAIN GAMES,2,437,116,0.0
JPG_Games,1,13,0,0.0
JR Production,1,2,4,0.0
JRC,1,2,1,0.0
JSL Entertainment,2,24195,2643,17.075
JT Interactive Entertainment,1,20,23,0.0
JTA Games,1,3,0,0.0
JUANWUWU Games,1,0,1,0.0
JUBSTUDIO,1,143,269,0.0
JUDOBABY INC.,1,64,15,4.28
JUKKAKU GAMES,1,950,49,6.7
JUNGLE,1,18,11,0.0
JUST a Gamer,1,16,14,0.0
"JW, Kitty, Jukio, Dom",1,2339,278,3.28
JY,4,13,25,0.0
J_WGames,1,9,1,0.0
Ja2b Games,1,4,2,0.0
Jace Masula,2,1382,228,8.98
Jachun Digital,1,19,1,0.0
Jack,1,3,1,0.0
Jack G,1,3,2,0.0
Jack Gloyens,1,14,9,0.0
"Jack Kelly, Frank DiCola, Alba S. Torremocha, Noah Kellman",1,11,1,0.0
"Jack Southard, Nathan Jew",1,32,1,0.0
Jack Tech,1,1547,1270,10.77
Jack Twin,1,11,19,0.0
"Jack, Chia Chang Koo",1,1,0,0.0
"Jackbox Games, Inc.",17,30045,2705,5.027647058823529
Jackdaw4617,1,1,0,0.0
Jackson Clayton,2,22,5,0.0
"Jackson Clayton, Andy Sharpe, Liam A'Hearn, Zane Kidwell",1,13,1,0.0
"Jackson Wood, Lewis Spalato",1,8,2,0.0
Jackto Studios,1,8877,2518,34.8
Jacob (Jake) Roberson,1,2,0,0.0
Jacob Allen,1,15,1,0.0
Jacob Irwin,1,2,1,0.0
Jacob Janerka,1,1491,89,3.6
Jacob McCormick,1,3,1,0.0
Jacob Singer,1,1,0,0.0
"Jaden Romilio, Jakob Houghton, Harry Mackenzie",1,4,0,0.0
Jadon Barnes,1,4341,614,10.23
Jae Lee Productions,1,464,247,0.92
"Jaesung Kim, Jongseop Lee, Hyunggu Han",1,44,0,0.0
JaffaJam,1,29,1,0.0
Jagex Limited,1,11922,6346,17.53
Jagex Ltd,2,36185,7488,68.94
Jaibo Games,1,49,4,0.0
Jaime Paz Lopes,1,9,2,0.0
Jaime Scribbles Games,1,16,7,0.0
"Jaison Robson Gusava, SC Jogos",2,380,247,4.1899999999999995
Jaja City,1,23,2,0.0
Jajaben Games,1,41,5,0.0
Jak Wilmot,2,104,27,0.0
Jakal Studios,1,249,70,2.17
Jake Donkersgoed,1,489,17,1.3
Jake Hollands,1,2846,262,15.77
Jake Huhman,1,262,57,16.78
"Jake Jensen, Elijah Bush, Sakura Jensen",1,1,1,0.0
Jake M,1,24,15,0.0
Jake Olson,2,88,79,13.035
Jake Peng,2,6,1,0.0
Jake Rovere,1,3,0,0.0
Jakob Delzer,1,39,12,0.0
Jakob Hild,1,1,1,0.0
Jakob Vidal,1,248,20,0.0
Jakov Jakov,1,2,4,0.0
Jam,2,313,131,0.32999999999999996
Jam Entertainment,1,3,0,0.0
Jambav,1,8,1,0.0
James,1,1,0,0.0
James Earl Cox III,4,354,71,0.0
James Horn,1,8,6,0.0
James K. Isaac,2,28,4,0.0
James Leakos,1,24,20,0.0
James Madsen Digital Enterprises,1,31,24,0.0
James Mearman,2,168,44,2.085
"James Montgomery, Daniel Paez, Jeff Jackman, Lance Montgomery, Michael Nova",1,146,15,1.0
James Moulang,1,283,3,10.6
James O,1,265,50,0.0
James Patton,1,240,63,4.75
"James Patton, Clockwork Bird",1,229,13,12.97
James Prior,1,3,0,0.0
"James Sager III, Steve Reynolds, Lokesh Dhanger",1,20,4,0.0
"James Sager, Brian Mclendon, Tuomo Untinen, Team Don Corgi, Yamillian, Garrett Wessner, Rob Somerfield, Jacob Wilkins, Janet Banerjee, SithJester",1,1,1,0.0
James Wolf,1,12,5,0.0
"James de Silva, Matthew Sanders",1,40,10,2.55
JamesGamesNZ,1,154,21,0.0
Jamhammer Games Inc.,1,4,0,0.0
Jaming Soo,1,44,84,0.0
Jamit Games,1,21,25,0.22
Jammed Up Studios,1,134,99,1.65
Jamong Inc.,1,6,12,0.0
Jan Malitschek,1,16,1,0.0
"Jan Place Jakobsen, Kristoffer Juel Friis, Jonas Skjønnemann, Ignacy Grabowski",1,119,33,0.0
Jan Urbanek,1,21,2,0.0
Jan Zelený,1,2332,446,32.9
Jan Zizka,1,249,143,2.98
Janarik Games LLC,1,51,1,0.0
JanduSoft,3,936,452,2.9066666666666667
Jane Wilson,2,27,11,0.0
Jani Penttinen,2,56,66,0.0
Janky Games,1,11,13,0.0
Jannik Nickel,1,2493,127,13.13
JapanCo,1,138,37,4.48
"Japanime Digital, Wedontknow Games",1,197,15,3.88
"Jarbit, Castle art by Yuriy Gusev",1,922,514,3.68
Jared Blackburn,1,1,1,0.0
Jared Hoffa,1,13,9,0.0
Jared Miller,1,9,16,0.0
JaredGames,1,86,15,0.0
Jareed Dempsey,1,0,2,0.0
Jarhead Games,1,182,396,0.55
Jaron Fund,1,4,1,0.0
Jaroslav Patočka,1,1,0,0.0
Jarrah Technology,1,20,9,4.38
Jasmine Osler,1,279,11,0.0
JasmineSummer Project,1,113,12,0.27
Jason Aldred,1,25,0,0.0
Jason Carter,1,4,6,0.0
"Jason Gertner, Carson Kompon, Yukon Wainczak, Jennifer Kindl",1,866,65,0.0
Jason Godbey,1,972,348,0.62
Jason Lovett,2,232,52,4.04
Jason Morgan,1,54,2,0.0
Jason Oda,1,97,74,0.4
Jason Rohrer,3,3805,1078,6.6433333333333335
Jason Swisher,1,1,0,0.0
Jasper Byrne,1,1101,194,1.13
Jaunty Bear Games,1,2,1,0.0
Javelin OÜ,1,108,120,3.07
Javid Hasanli,1,12,2,0.0
"Javier Federico Goldschmidt, Matias Juvé, Tomas Peters",1,90,6,0.0
Javissoft,1,32,18,0.0
Jay Carvajal,1,2,0,0.0
"JayGee Studios, Gage Posick, John Chiesa",1,3,0,0.0
Jaybot7,1,84,36,3.12
Jaydan Lunt,1,3,1,0.0
"Jaydon Schumacker, Jonathan Clay, Andres Garcia, Anthony Acosta",1,9,8,0.0
JazzApps,1,12,0,0.0
Jazzcat games,1,6,0,0.0
Jazztache,1,2,0,0.0
Jean Pierre Arteaga,1,0,1,0.0
Jean-Sébastien Nouveau,2,53,12,0.0
Jeel Patel,1,3,0,0.0
"Jeff Nusz, Mindful Mammoth",1,1625,69,0.23
Jeff Rigler,1,8,5,0.0
Jeff Sinasac,1,5,0,0.0
Jeff Trier,2,78,49,0.29
"Jeffrey Lu, Freddy Lu",1,62,3,0.0
"Jeffrey Nordin, Justin Nordin",1,6,5,6.88
Jehan Kobe Chang,1,32,9,1.27
Jelle Booij,1,1068,207,5.88
Jelle van Doorne,1,82,3,0.0
JellySnow Studio,1,2312,484,4.9
Jellyfish Parade,2,43,11,0.0
Jellyvision,1,106,10,11.22
Jeminie Interactive,1,1379,161,44.43
Jenito,1,4,1,0.0
"Jenny Chen, Changcheng Fu, Hunter Huynh, Miranda Liu, Eric Shen",1,23,9,0.0
Jens P. Behrens,1,1,0,0.0
"Jeremiah Hughes, Roy Bennett, Jeremy Hadley, Josephine Dolan, Joseph Cavazos, Mollica Es",1,35,6,0.0
Jeremiah Stilts,1,22,3,0.0
Jeremy Couillard,2,162,8,1.05
"Jeremy Couillard, Ireneo Mercado",1,83,13,0.2
"Jeremy Evers, Negspect, Inc.",1,6,0,0.0
Jeremy Slavitz,1,24,11,0.0
Jeremy Waltman,1,2,1,0.0
Jero53motox,1,6,9,0.0
Jeroen Wimmers,1,215,24,0.0
"Jeroen van Oosten, Milan Kazarka",1,10,7,0.0
Jerome Bodin,1,33,26,4.47
Jerome Labelle,1,37,15,0.0
Jerseyware Gaming,1,155,91,3.55
"Jerzie, Creobit",1,185,18,4.93
Jeshawn Chrite,1,3,1,0.0
Jesse Carradine,1,339,18,0.0
Jesse Makkonen,4,16690,1306,3.2725
Jesse McCabe,1,11,1,0.0
Jesse Moreland,1,3,1,0.0
Jessy Lemieux,1,288,87,0.25
Jet Set Games,1,42,22,1.78
Jetdogs Studios,6,3355,1015,4.075
"Jetdogs Studios, CorePunch Gamestudio",1,319,46,4.22
"Jetdogs Studios, Fineway Studios",1,1668,330,3.62
"Jetdogs Studios, Whalebox",2,206,21,0.06
"Jetdogs Studios, Zoom Out Games",8,7424,709,4.7825
Jether,2,25,14,0.0
Jewel Seeker Entertainment,1,5,1,0.0
Jhomas,1,27,4,0.0
JiMTa-积木塔,1,40,6,0.0
Jia-Ho Jian,1,283,33,0.0
Jiabisu,1,14,0,0.0
JiangHu Studio,2,1903,1357,20.34
JibbyJib,1,56,3,0.0
Jigsaw Unravel,2,17,29,0.0
Jim,1,67,5,0.0
Jim Best,1,1,0,0.0
Jim Offerman,1,193,185,3.0
JimJams Games,6,17,8,0.0
Jimbob Games,1,108,76,2.48
Jimmy Arcade Limited,1,16,6,0.0
JinCycle,2,10,2,0.0
"Jingcheng Yang, Jingcheng Yang",1,6,2,0.0
"Jingjing Shen, Cody Wren, David Tree",1,7,7,0.0
JingtuStudio,1,37,13,0.0
"JingtuStudio, 乌鸦大仙",1,76,18,0.0
Jinthree Studio,1,272,28,5.2
Jinxi,1,9,3,0.0
Jiochees,1,3,1,0.0
Jipang2Games,1,40,6,0.0
Jirapher,1,2,0,0.0
Jiruo Software,1,66,14,0.0
"Jiv Jago, Independent studio",1,15,4,0.0
Jiwoo Lee,1,35,17,0.0
Jl Apps,1,1,2,0.0
Jo-Mei Games,1,1665,329,3.07
"Jo-Mei, upjers",1,5,15,0.0
JoPaSä,1,16,11,0.0
JoWooD Vienna,1,2872,68,2.07
Joakim Sandberg,1,4098,632,11.25
"Joaquin Telleria, Manuel Telleria",1,29,27,0.0
"Job Talle, 3xBlast",1,883,47,4.35
Job Timmermans,1,12,2,0.0
Joccish,1,28,3,0.0
"Jochen Heizmann, Emmanuel Henné",1,1,1,0.0
"Jochen Heizmann, Emmanuel Henné, Intermediaware",1,35,15,0.0
Joe Chisholm,1,59,14,0.0
Joe Daywalt,1,11,1,0.0
Joe Richardson,3,2561,93,1.6466666666666665
Joe Sansone,1,4,4,0.0
Joehot200,1,26,12,0.0
Joel Carter,1,1,0,0.0
Joel D.,1,13,3,0.0
Joey Cook,1,25,0,0.0
Joey Drew Studios,2,29222,3615,6.4
JofiSoft,1,59,2,0.0
Johan Aronsson,1,27,14,1.17
Johan Hammes,1,6,3,0.0
Johan Hjärpe,1,164,13,12.7
Johan Pruys,1,5,3,0.0
Johan Scherft,1,3086,46,0.88
Johann Stoltz,1,0,1,0.0
Johannes Gäbler,1,165,48,3.02
John Borkowski,1,6,2,0.0
John C. Ragland,1,6,2,0.0
John Carline,1,245,47,0.38
"John Caruso, Diante Clark",1,1,0,0.0
John Coday,2,5,1,0.0
"John Fluet, Hans Scharler",1,1,2,0.0
John Holmvall,2,431,56,3.09
John Jiang,1,37,10,0.0
John McCann,1,10,7,0.0
"John Morris, Emily Jean Richardson",1,6,1,0.0
"John Rais, Nathan Rais",1,28,9,0.0
John Segerstedt,1,39,28,0.0
John Szymanski,2,1407,134,1.85
"John Szymanski, Evan Szymanski, David Szymanski",1,76,78,4.17
John Wallie,1,29,1,0.0
John Wanot,1,11,5,0.0
John Wizard,9,801,288,2.92
"John Xu, John Morris",1,6,4,0.0
Johnny Dale Lonack,1,234,75,0.88
Johnny Death Games,1,10,6,0.0
Johnny Ostad,1,35,16,0.0
Joindots GmbH,1,0,2,0.0
"Joindots, SilentFuture",1,53,72,19.83
"Jolly Crouton Media Ltd., Tiny Warrior Games",1,11,1,0.0
JollyCo,1,83,16,0.0
Jollypunch Games,2,658,72,1.04
Joma Rage,1,0,2,0.0
Jon Gallant,1,1595,96,16.82
Jon Harwood Games LLC,1,55,17,1.5
"Jon Lamont, Jon Braun",1,14,1,0.0
Jon Prestidge,1,8,0,0.0
Jon Sudbury Games,1,153,31,0.0
"Jon Tiburzi, Bevibel Harvey, Philip Gibbons, Marc Cuva",1,266,40,4.15
Jon Upton,1,2,2,0.0
Jonah Gasson,1,2,1,0.0
"Jonah Gaynor, Snippy Nguyen",1,4,0,0.0
Jonarene,1,1,0,0.0
Jonas Autenrieth,1,11,4,0.0
Jonas Dall,1,1,0,0.0
"Jonas De Carvalho Felinto, Marcelo Eduardo Cabral",1,11,1,7.48
Jonas Kyratzes,2,310,18,0.0
"Jonas Manke, Studio Inkyfox",1,265,5,0.3
Jonas Oppliger,1,23,6,0.0
Jonas Tag,1,2,1,0.0
Jonas Tyroller,1,2656,73,2.13
Jonathan BRASSAUD,1,242,126,4.32
Jonathan Law,1,1,0,0.0
Jonathan Moye,1,17,4,0.0
Jonathan Mulcahy,1,28,16,0.02
"Jonathan Robson, Matthew Hayter",1,19,6,0.0
Jonathan Tindell,2,1530,237,3.715
Jonathan Wood,1,637,75,1.32
Jonathan.S,1,4,5,0.0
Jonayne,1,4,4,0.0
"Jongwoo Kim, Erica Lahaie, FX Bilodeau, Tanya Short",1,1030,430,2.45
Jonni The Dodger,1,27,9,6.05
JooGray videogames,3,16,16,0.0
"Joon, Pol, Muutsch, Char & Torfi",1,781,109,2.8
Joona Vartiainen,1,22,39,0.0
Joongwon Entertainment,2,543,268,7.05
JoqLePecheur,1,37,14,0.0
Jordan Allen,1,95,15,0.0
"Jordan Allen, Howard Ross IV",1,16,2,0.0
Jordan Magnuson,1,123,16,0.0
Jordan Rott,2,3,1,0.0
Jorge Aires,1,345,64,761.55
Jorge Giner Cordero,1,10,6,0.0
"Jorge Lima, Alexandre Fontoura",1,12,4,0.0
Jori Ryan,1,15,2,0.0
JosPlays,1,47,121,7.65
"Jose Alfonso, Vicente Mauricio, Tobias Kammann, Guillermo Fleitas",1,11,1,0.0
Jose Juan Gambín,1,11,0,0.0
Jose Luis Escobar,1,8,0,0.0
Josep G. Camarasa,1,46,2,0.0
Josep Monzonis Hernandez,2,1,5,0.0
Joseph Bramlett,1,37,29,0.78
Joseph Calabro,1,7,0,0.0
Joseph Distler,1,376,32,1.98
Joseph English,1,97,12,0.0
Joseph Gribbin,1,50,2,0.0
Joseph Griggs,1,1,1,0.0
Joseph Keenan,1,8,1,0.0
Joseph MacDonald,1,20,16,0.0
Joseph Meering,1,2,0,0.0
"Josh Beatty, Mike Casto",1,113,9,2.15
Josh Koenig (Slashandz),1,98,21,1.35
"Josh Larsen, s0s2",1,25,1,0.0
Josh Presseisen,1,69,73,1.55
Josh Singer,1,73,5,0.0
Josh Tam Universe,2,120,374,1.915
Joshua Bergstrom,1,3,0,0.0
Joshua Curtis,1,14,3,0.0
Joshua Cutting,1,14,6,0.0
Joshua Hotchin,1,7,3,0.0
Joshua Hughes,1,170,46,6.6
Joshua Keith,4,100,15,0.0
Joshua Krauchi,1,3,1,0.0
"Joshua Linscott, 1122 Industries",1,10,1,0.0
Joshua Missile,2,193,42,0.76
Joshua Nuernberger,1,1617,212,2.97
Joshua Roland,1,28,10,0.27
Joshua Rooijakkers,2,35,9,0.0
"Joshua Williams, Evil Tortilla Games Incorporated",1,251,59,9.15
Josiah Tull,1,7,1,0.0
"Josyan, Bibiki",1,27,1,0.0
José Antonio Durá Olmos,1,14,2,0.0
Joure Visser,1,234,35,0.0
Journey Bound Games,1,916,27,0.35
Jovrnalism,1,8,0,0.0
Joy Everafter Stories,1,2,0,0.0
Joy Impact,1,304,199,1.68
Joy Way,3,2024,553,0.8933333333333334
JoyBits Ltd.,8,2129,936,3.3825
JoyCrafter,1,106,66,22.18
JoyFul Software,1,6,1,0.0
JoyImpact,1,169,126,4.15
JoyMasher,3,3469,561,2.9
Joyful Software,2,44,13,0.0
Joyjoymoto,1,7,0,0.0
Joymania Development,1,218,18,2.75
Joyous Raccoon,1,18,20,0.68
Joysteak Studios,1,581,65,2.2
João Fílipe,1,7,2,0.0
"João Victor da Silva, Lucas Roberto",1,2,0,0.0
"Jsmael Stieger, Manuel Stieger, Andreas Stieger",1,74,52,7.57
Juan Jose Garrido Gomez,1,4,3,0.0
Jubcow,1,15,1,0.0
JubleLemonSeed,3,1243,437,0.0
Jucar,1,187,32,0.65
Juggernaut Games,2,787,158,3.3
Juggler Games,1,809,67,6.05
Jugilus,1,32,16,0.95
Juicy Beast,2,701,46,2.765
Juicy Frog,1,7,0,0.0
Juicy Jelly Cloud,1,22,2,0.0
Jujubee S.A.,7,1553,1290,4.085714285714286
Julia Condemi,1,7,2,0.0
Julia Games,1,41,8,2.23
Julia Minamata,1,42,2,0.0
Julian Edison,2,446,65,2.975
"Julian Edison, Grayson Dew",1,10,1,0.0
Julian Fokin,1,11,0,0.0
Julian Henley,3,48,35,0.0
"Julian Hernandez, Caroline Laber-Smith, Miriam Suarez, Emmanuel Mallea",1,7,0,0.0
Julian Heuser,1,4,1,0.0
Julian Laufer,1,186,79,3.62
Julian Lewis,1,0,1,0.0
Julian Roeckl,1,11,2,0.0
Julian Schlüntz,1,533,36,0.82
Julian Stables,1,11,5,0.0
"Julien Baumgartner, Pénélope Schachner",1,17,2,0.0
Julián Palacios Gechtman,1,153,23,0.0
