data_lancamento,total_jogos,jogadores_simultaneos,avaliacoes_totais,preco_medio
2010-06-25,1,82,9016,19.99
2010-06-29,1,113,22090,19.99
2010-06-30,1,11,5578,29.99
2010-07-06,1,3,12838,0.0
2010-07-07,1,7,2790,9.99
2010-07-09,4,3,1400,1.9400000000000002
2010-07-12,4,239,23689,4.9925
2010-07-14,1,0,358,0.0
2010-07-15,2,0,330,4.99
2010-07-16,3,6,2023,5.406666666666666
2010-07-19,2,23,21509,0.795
2010-07-20,1,331,9108,19.99
2010-07-21,1,0,25,1.79
2010-07-28,1,32,3904,9.99
2010-07-30,1,7,180,9.99
2010-08-03,2,3,443,9.99
2010-08-04,1,5,1323,5.99
2010-08-06,1,2,289,4.99
2010-08-12,2,4,575,4.995
2010-08-17,1,11,8877,9.99
2010-08-19,1,0,61,1.99
2010-08-20,1,3,252,9.99
2010-08-26,1,24,4867,19.99
2010-08-27,2,29,2649,17.49
2010-08-30,1,490,19477,19.99
2010-09-01,1,0,52,3.99
2010-09-02,2,128,5531,2.495
2010-09-06,1,0,762,4.99
2010-09-07,1,11,10097,4.99
2010-09-08,1,60,34108,19.99
2010-09-10,1,12,7238,19.99
2010-09-13,4,1,39,0.0
2010-09-14,2,1,1471,2.99
2010-09-17,3,90,4662,10.49
2010-09-20,1,0,335,7.99
2010-09-21,1,12206,204265,29.99
2010-09-22,1,0,1006,9.99
2010-09-23,1,9,12402,19.99
2010-09-24,2,0,922,3.24
2010-09-27,2,64,8232,11.489999999999998
2010-09-28,3,5,5747,8.656666666666666
2010-10-01,1,0,50,3.99
2010-10-04,1,0,211,4.99
2010-10-06,2,3,161,2.495
2010-10-08,4,6,719,2.365
2010-10-11,2,17,471,0.0
2010-10-12,1,24,10059,19.99
2010-10-15,5,20,7115,5.392
2010-10-19,1,3892,227700,9.99
2010-10-21,1,318,48906,9.99
2010-10-22,1,0,165,4.99
2010-10-25,3,4,4925,11.656666666666666
2010-10-26,8,439,36987,7.49625
2010-10-28,1,3,1106,9.99
2010-10-29,3,4,2266,4.326666666666667
2010-11-01,1,1,177,0.0
2010-11-02,3,0,1108,6.656666666666666
2010-11-05,4,1,1132,4.3925
2010-11-09,1,527,40225,39.99
2010-11-10,1,0,91,1.39
2010-11-16,1,0,577,4.99
2010-11-17,2,1,756,5.49
2010-11-18,3,30,1858,3.1566666666666667
